Model,TBS1052C
-9.392e-02,0.0008
-9.376e-02,0
-9.360e-02,0.0008
-9.344e-02,0.0008
-9.328e-02,0
-9.312e-02,0
-9.296e-02,0
-9.280e-02,0
-9.264e-02,0
-9.248e-02,0
-9.232e-02,0
-9.216e-02,0.0008
-9.200e-02,0
-9.184e-02,0
-9.168e-02,0
-9.152e-02,0.0008
-9.136e-02,0.0008
-9.120e-02,0.0008
-9.104e-02,0.0008
-9.088e-02,0.0008
-9.072e-02,0.0008
-9.056e-02,0.0008
-9.040e-02,0.0008
-9.024e-02,0
-9.008e-02,0.0008
-8.992e-02,0.0008
-8.976e-02,0.0008
-8.960e-02,0.0008
-8.944e-02,0.0016
-8.928e-02,0.0008
-8.912e-02,0
-8.896e-02,0
-8.880e-02,0
-8.864e-02,0.0008
-8.848e-02,0.0008
-8.832e-02,0
-8.816e-02,0.0008
-8.800e-02,0
-8.784e-02,0
-8.768e-02,0.0008
-8.752e-02,0.0008
-8.736e-02,0.0008
-8.720e-02,0
-8.704e-02,0
-8.688e-02,0
-8.672e-02,0.0008
-8.656e-02,0.0008
-8.640e-02,0.0008
-8.624e-02,0.0008
-8.608e-02,0.0008
-8.592e-02,0.0008
-8.576e-02,0.0008
-8.560e-02,0.0008
-8.544e-02,0.0008
-8.528e-02,0
-8.512e-02,0.0008
-8.496e-02,0.0008
-8.480e-02,0
-8.464e-02,0.0008
-8.448e-02,0.0008
-8.432e-02,0
-8.416e-02,0.0008
-8.400e-02,0.0008
-8.384e-02,0
-8.368e-02,0
-8.352e-02,0.0008
-8.336e-02,0
-8.320e-02,0.0008
-8.304e-02,0.0008
-8.288e-02,0
-8.272e-02,0.0008
-8.256e-02,0.0008
-8.240e-02,0
-8.224e-02,0.0008
-8.208e-02,0.0008
-8.192e-02,0
-8.176e-02,0.0008
-8.160e-02,0.0008
-8.144e-02,0
-8.128e-02,0
-8.112e-02,0.0008
-8.096e-02,0
-8.080e-02,0
-8.064e-02,0.0008
-8.048e-02,0.0008
-8.032e-02,0
-8.016e-02,0.0008
-8.000e-02,0.0008
-7.984e-02,0
-7.968e-02,0
-7.952e-02,0.0008
-7.936e-02,0.0016
-7.920e-02,0
-7.904e-02,0.0008
-7.888e-02,0.0008
-7.872e-02,0.0008
-7.856e-02,0
-7.840e-02,0
-7.824e-02,0
-7.808e-02,0
-7.792e-02,0.0008
-7.776e-02,0.0008
-7.760e-02,0.0008
-7.744e-02,0.0008
-7.728e-02,0.0008
-7.712e-02,0.0008
-7.696e-02,0
-7.680e-02,0
-7.664e-02,0.0008
-7.648e-02,0
-7.632e-02,0.0008
-7.616e-02,0.0008
-7.600e-02,0
-7.584e-02,0.0008
-7.568e-02,0.0008
-7.552e-02,0
-7.536e-02,0
-7.520e-02,0.0008
-7.504e-02,0
-7.488e-02,0.0008
-7.472e-02,0.0008
-7.456e-02,0
-7.440e-02,0
-7.424e-02,0.0008
-7.408e-02,0.0008
-7.392e-02,0
-7.376e-02,0
-7.360e-02,0.0008
-7.344e-02,0.0008
-7.328e-02,0
-7.312e-02,0
-7.296e-02,0.0008
-7.280e-02,0.0008
-7.264e-02,0
-7.248e-02,0
-7.232e-02,0.0008
-7.216e-02,0.0008
-7.200e-02,0.0008
-7.184e-02,0
-7.168e-02,0.0008
-7.152e-02,0
-7.136e-02,0.0008
-7.120e-02,0.0008
-7.104e-02,0.0008
-7.088e-02,0
-7.072e-02,0
-7.056e-02,0
-7.040e-02,0.0008
-7.024e-02,0.0008
-7.008e-02,0.0008
-6.992e-02,0.0008
-6.976e-02,0.0008
-6.960e-02,0.0008
-6.944e-02,0.0008
-6.928e-02,0.0008
-6.912e-02,0.0016
-6.896e-02,0
-6.880e-02,0.0008
-6.864e-02,0.0008
-6.848e-02,0
-6.832e-02,0
-6.816e-02,0.0008
-6.800e-02,0
-6.784e-02,0.0008
-6.768e-02,0.0008
-6.752e-02,0.0008
-6.736e-02,0
-6.720e-02,0.0008
-6.704e-02,0.0008
-6.688e-02,0
-6.672e-02,0.0008
-6.656e-02,0.0008
-6.640e-02,0
-6.624e-02,0
-6.608e-02,0.0008
-6.592e-02,0.0008
-6.576e-02,0
-6.560e-02,0.0008
-6.544e-02,0.0008
-6.528e-02,0.0008
-6.512e-02,0.0008
-6.496e-02,0
-6.480e-02,-0.0008
-6.464e-02,0
-6.448e-02,0.0008
-6.432e-02,0.0008
-6.416e-02,0.0008
-6.400e-02,0.0008
-6.384e-02,0.0008
-6.368e-02,0.0008
-6.352e-02,0
-6.336e-02,0
-6.320e-02,0.0008
-6.304e-02,0.0008
-6.288e-02,0
-6.272e-02,0.0008
-6.256e-02,0.0008
-6.240e-02,0.0008
-6.224e-02,0
-6.208e-02,0
-6.192e-02,0
-6.176e-02,0
-6.160e-02,0.0008
-6.144e-02,0
-6.128e-02,0.0008
-6.112e-02,0.0008
-6.096e-02,0.0008
-6.080e-02,0
-6.064e-02,0
-6.048e-02,0.0008
-6.032e-02,0.0008
-6.016e-02,0
-6.000e-02,0.0008
-5.984e-02,0.0008
-5.968e-02,0.0008
-5.952e-02,0
-5.936e-02,0.0008
-5.920e-02,0.0008
-5.904e-02,0
-5.888e-02,0.0008
-5.872e-02,0
-5.856e-02,0
-5.840e-02,0.0008
-5.824e-02,0
-5.808e-02,0
-5.792e-02,0
-5.776e-02,0
-5.760e-02,0
-5.744e-02,0
-5.728e-02,0.0008
-5.712e-02,0
-5.696e-02,0
-5.680e-02,0.0008
-5.664e-02,0.0008
-5.648e-02,0.0008
-5.632e-02,0.0008
-5.616e-02,0
-5.600e-02,0
-5.584e-02,0
-5.568e-02,0
-5.552e-02,0.0008
-5.536e-02,0.0008
-5.520e-02,0
-5.504e-02,0.0008
-5.488e-02,0.0008
-5.472e-02,0.0008
-5.456e-02,0.0016
-5.440e-02,0.0008
-5.424e-02,0.0008
-5.408e-02,0
-5.392e-02,0
-5.376e-02,0.0008
-5.360e-02,0.0008
-5.344e-02,0.0008
-5.328e-02,0.0008
-5.312e-02,0.0008
-5.296e-02,0.0008
-5.280e-02,0
-5.264e-02,0.0008
-5.248e-02,0
-5.232e-02,0.0008
-5.216e-02,0
-5.200e-02,0.0008
-5.184e-02,0.0008
-5.168e-02,0.0008
-5.152e-02,0.0008
-5.136e-02,0.0008
-5.120e-02,0
-5.104e-02,0.0008
-5.088e-02,0
-5.072e-02,0
-5.056e-02,0
-5.040e-02,0
-5.024e-02,0
-5.008e-02,0.0008
-4.992e-02,0
-4.976e-02,0
-4.960e-02,0.0008
-4.944e-02,0
-4.928e-02,0.0008
-4.912e-02,0.0008
-4.896e-02,0
-4.880e-02,0
-4.864e-02,0.0008
-4.848e-02,0.0008
-4.832e-02,0
-4.816e-02,0.0008
-4.800e-02,0.0008
-4.784e-02,0.0016
-4.768e-02,0
-4.752e-02,0
-4.736e-02,0.0008
-4.720e-02,0
-4.704e-02,0
-4.688e-02,0.0008
-4.672e-02,-0.0008
-4.656e-02,0
-4.640e-02,0.0008
-4.624e-02,0
-4.608e-02,0
-4.592e-02,0.0008
-4.576e-02,0.0008
-4.560e-02,0
-4.544e-02,0.0008
-4.528e-02,0.0008
-4.512e-02,0.0008
-4.496e-02,0.0016
-4.480e-02,0.0008
-4.464e-02,0
-4.448e-02,0
-4.432e-02,0
-4.416e-02,0
-4.400e-02,0
-4.384e-02,0
-4.368e-02,0
-4.352e-02,0
-4.336e-02,0
-4.320e-02,0
-4.304e-02,0.0008
-4.288e-02,0.0008
-4.272e-02,0.0008
-4.256e-02,0.0008
-4.240e-02,0.0016
-4.224e-02,0.0016
-4.208e-02,0.0008
-4.192e-02,0
-4.176e-02,0.0008
-4.160e-02,0.0008
-4.144e-02,0
-4.128e-02,0
-4.112e-02,0
-4.096e-02,0.0008
-4.080e-02,0
-4.064e-02,0
-4.048e-02,0.0008
-4.032e-02,0.0008
-4.016e-02,0.0008
-4.000e-02,0.0008
-3.984e-02,0.0016
-3.968e-02,0.0016
-3.952e-02,0.0008
-3.936e-02,0.0016
-3.920e-02,0.0016
-3.904e-02,0.0008
-3.888e-02,0.0008
-3.872e-02,0.0008
-3.856e-02,0
-3.840e-02,0
-3.824e-02,0
-3.808e-02,-0.0008
-3.792e-02,0
-3.776e-02,0.0008
-3.760e-02,0.0008
-3.744e-02,0
-3.728e-02,0.0008
-3.712e-02,0.0016
-3.696e-02,0.0008
-3.680e-02,0.0016
-3.664e-02,0.0024
-3.648e-02,0.0016
-3.632e-02,0.0008
-3.616e-02,0.0008
-3.600e-02,0.0008
-3.584e-02,0.0008
-3.568e-02,-0.0008
-3.552e-02,0
-3.536e-02,-0.0008
-3.520e-02,0
-3.504e-02,0.0008
-3.488e-02,0.0008
-3.472e-02,0.0008
-3.456e-02,0.0008
-3.440e-02,0.0008
-3.424e-02,0.0016
-3.408e-02,0.0016
-3.392e-02,0.0016
-3.376e-02,0.0016
-3.360e-02,0.0008
-3.344e-02,0.0008
-3.328e-02,0.0008
-3.312e-02,0.0008
-3.296e-02,-0.0008
-3.280e-02,-0.0008
-3.264e-02,0
-3.248e-02,0
-3.232e-02,0
-3.216e-02,0.0008
-3.200e-02,0
-3.184e-02,0
-3.168e-02,0.0016
-3.152e-02,0.0016
-3.136e-02,0.0016
-3.120e-02,0.0024
-3.104e-02,0.0016
-3.088e-02,0.0016
-3.072e-02,0
-3.056e-02,0
-3.040e-02,0
-3.024e-02,-0.0008
-3.008e-02,0
-2.992e-02,0
-2.976e-02,-0.0008
-2.960e-02,0
-2.944e-02,0.0008
-2.928e-02,0
-2.912e-02,0.0016
-2.896e-02,0.0016
-2.880e-02,0.0016
-2.864e-02,0.0024
-2.848e-02,0.0024
-2.832e-02,0.0016
-2.816e-02,0.0008
-2.800e-02,0.0008
-2.784e-02,0.0008
-2.768e-02,0
-2.752e-02,0
-2.736e-02,-0.0016
-2.720e-02,-0.0016
-2.704e-02,-0.0016
-2.688e-02,-0.0008
-2.672e-02,0
-2.656e-02,0.0008
-2.640e-02,0.0008
-2.624e-02,0.0008
-2.608e-02,0.0016
-2.592e-02,0.0024
-2.576e-02,0.0024
-2.560e-02,0.0024
-2.544e-02,0.0016
-2.528e-02,0.0008
-2.512e-02,-0.0008
-2.496e-02,-0.0008
-2.480e-02,-0.0016
-2.464e-02,-0.0008
-2.448e-02,-0.0016
-2.432e-02,-0.0016
-2.416e-02,-0.0016
-2.400e-02,-0.0008
-2.384e-02,0
-2.368e-02,0.0016
-2.352e-02,0.0016
-2.336e-02,0.0016
-2.320e-02,0.0024
-2.304e-02,0.0024
-2.288e-02,0.0024
-2.272e-02,0.0016
-2.256e-02,0.0008
-2.240e-02,0
-2.224e-02,-0.0016
-2.208e-02,-0.0024
-2.192e-02,-0.0016
-2.176e-02,-0.0016
-2.160e-02,-0.0016
-2.144e-02,-0.0008
-2.128e-02,0.0008
-2.112e-02,0.0016
-2.096e-02,0.0024
-2.080e-02,0.0032
-2.064e-02,0.0032
-2.048e-02,0.0024
-2.032e-02,0.0032
-2.016e-02,0.0024
-2.000e-02,0
-1.984e-02,0
-1.968e-02,-0.0008
-1.952e-02,-0.0008
-1.936e-02,-0.0032
-1.920e-02,-0.0024
-1.904e-02,-0.0016
-1.888e-02,-0.0008
-1.872e-02,-0.0008
-1.856e-02,0.0008
-1.840e-02,0.0024
-1.824e-02,0.0032
-1.808e-02,0.004
-1.792e-02,0.0032
-1.776e-02,0.0032
-1.760e-02,0.0016
-1.744e-02,0.0008
-1.728e-02,0
-1.712e-02,-0.0016
-1.696e-02,-0.004
-1.680e-02,-0.0032
-1.664e-02,-0.0032
-1.648e-02,-0.0016
-1.632e-02,0
-1.616e-02,0.0016
-1.600e-02,0.0032
-1.584e-02,0.0048
-1.568e-02,0.0048
-1.552e-02,0.004
-1.536e-02,0.0032
-1.520e-02,0.0016
-1.504e-02,0.0008
-1.488e-02,-0.0016
-1.472e-02,-0.004
-1.456e-02,-0.004
-1.440e-02,-0.004
-1.424e-02,-0.0032
-1.408e-02,-0.0016
-1.392e-02,0
-1.376e-02,0.0024
-1.360e-02,0.004
-1.344e-02,0.0056
-1.328e-02,0.0064
-1.312e-02,0.0064
-1.296e-02,0.0048
-1.280e-02,0.0024
-1.264e-02,0
-1.248e-02,-0.0024
-1.232e-02,-0.004
-1.216e-02,-0.0048
-1.200e-02,-0.0048
-1.184e-02,-0.0048
-1.168e-02,-0.0032
-1.152e-02,-0.0008
-1.136e-02,0.0024
-1.120e-02,0.004
-1.104e-02,0.0056
-1.088e-02,0.0072
-1.072e-02,0.0072
-1.056e-02,0.0072
-1.040e-02,0.0056
-1.024e-02,0.0032
-1.008e-02,0
-9.920e-03,-0.0032
-9.760e-03,-0.0056
-9.600e-03,-0.0064
-9.440e-03,-0.008
-9.280e-03,-0.0072
-9.120e-03,-0.0048
-8.960e-03,-0.004
-8.800e-03,0
-8.640e-03,0.004
-8.480e-03,0.0064
-8.320e-03,0.0088
-8.160e-03,0.0096
-8.000e-03,0.0096
-7.840e-03,0.0072
-7.680e-03,0.0048
-7.520e-03,0.0016
-7.360e-03,-0.0024
-7.200e-03,-0.0064
-7.040e-03,-0.0088
-6.880e-03,-0.0104
-6.720e-03,-0.0096
-6.560e-03,-0.0088
-6.400e-03,-0.0056
-6.240e-03,-0.0024
-6.080e-03,0.0024
-5.920e-03,0.0064
-5.760e-03,0.0096
-5.600e-03,0.012
-5.440e-03,0.0128
-5.280e-03,0.0112
-5.120e-03,0.0096
-4.960e-03,0.0056
-4.800e-03,0.0008
-4.640e-03,-0.004
-4.480e-03,-0.008
-4.320e-03,-0.012
-4.160e-03,-0.0136
-4.000e-03,-0.0128
-3.840e-03,-0.0104
-3.680e-03,-0.0072
-3.520e-03,-0.0024
-3.360e-03,0.0024
-3.200e-03,0.0072
-3.040e-03,0.012
-2.880e-03,0.0152
-2.720e-03,0.016
-2.560e-03,0.0152
-2.400e-03,0.012
-2.240e-03,0.0064
-2.080e-03,0.0008
-1.920e-03,-0.0048
-1.760e-03,-0.0104
-1.600e-03,-0.0144
-1.440e-03,-0.0168
-1.280e-03,-0.0168
-1.120e-03,-0.0144
-9.600e-04,-0.0096
-8.000e-04,-0.004
-6.400e-04,0.0032
-4.800e-04,0.0088
-3.200e-04,0.0152
-1.600e-04,0.0192
-3.793e-15,0.02
1.600e-04,0.0192
3.200e-04,0.016
4.800e-04,0.0096
6.400e-04,0.0032
8.000e-04,-0.004
9.600e-04,-0.0112
1.120e-03,-0.016
1.280e-03,-0.0192
1.440e-03,-0.0216
1.600e-03,-0.0192
1.760e-03,-0.0152
1.920e-03,-0.0088
2.080e-03,-0.0016
2.240e-03,0.0072
2.400e-03,0.0128
2.560e-03,0.02
2.720e-03,0.024
2.880e-03,0.024
3.040e-03,0.0224
3.200e-03,0.0184
3.360e-03,0.012
3.520e-03,0.004
3.680e-03,-0.0032
3.840e-03,-0.0112
4.000e-03,-0.0192
4.160e-03,-0.0232
4.320e-03,-0.0256
4.480e-03,-0.0248
4.640e-03,-0.0216
4.800e-03,-0.0144
4.960e-03,-0.0064
5.120e-03,0.0024
5.280e-03,0.012
5.440e-03,0.02
5.600e-03,0.0256
5.760e-03,0.028
5.920e-03,0.0288
6.080e-03,0.0264
6.240e-03,0.02
6.400e-03,0.012
6.560e-03,0.0024
6.720e-03,-0.0072
6.880e-03,-0.016
7.040e-03,-0.0232
7.200e-03,-0.028
7.360e-03,-0.0296
7.520e-03,-0.0272
7.680e-03,-0.0216
7.840e-03,-0.0144
8.000e-03,-0.0048
8.160e-03,0.0056
8.320e-03,0.0152
8.480e-03,0.0232
8.640e-03,0.0296
8.800e-03,0.0312
8.960e-03,0.0312
9.120e-03,0.0272
9.280e-03,0.02
9.440e-03,0.0104
9.600e-03,0.0008
9.760e-03,-0.0096
9.920e-03,-0.02
1.008e-02,-0.0264
1.024e-02,-0.0304
1.040e-02,-0.032
1.056e-02,-0.0288
1.072e-02,-0.0216
1.088e-02,-0.0136
1.104e-02,-0.0048
1.120e-02,0.0064
1.136e-02,0.0168
1.152e-02,0.024
1.168e-02,0.0304
1.184e-02,0.0336
1.200e-02,0.0328
1.216e-02,0.0272
1.232e-02,0.0192
1.248e-02,0.0104
1.264e-02,0
1.280e-02,-0.0104
1.296e-02,-0.0208
1.312e-02,-0.0272
1.328e-02,-0.0312
1.344e-02,-0.0312
1.360e-02,-0.0288
1.376e-02,-0.0224
1.392e-02,-0.0144
1.408e-02,-0.0056
1.424e-02,0.0048
1.440e-02,0.0152
1.456e-02,0.0224
1.472e-02,0.0288
1.488e-02,0.032
1.504e-02,0.032
1.520e-02,0.0288
1.536e-02,0.0232
1.552e-02,0.0152
1.568e-02,0.0064
1.584e-02,-0.004
1.600e-02,-0.0128
1.616e-02,-0.02
1.632e-02,-0.0264
1.648e-02,-0.0296
1.664e-02,-0.0296
1.680e-02,-0.0272
1.696e-02,-0.0224
1.712e-02,-0.0144
1.728e-02,-0.0056
1.744e-02,0.0016
1.760e-02,0.0112
1.776e-02,0.0192
1.792e-02,0.0232
1.808e-02,0.0272
1.824e-02,0.0296
1.840e-02,0.0288
1.856e-02,0.0248
1.872e-02,0.02
1.888e-02,0.0144
1.904e-02,0.0064
1.920e-02,-0.0024
1.936e-02,-0.0104
1.952e-02,-0.0168
1.968e-02,-0.0208
1.984e-02,-0.0248
2.000e-02,-0.0264
2.016e-02,-0.0264
2.032e-02,-0.0232
2.048e-02,-0.0184
2.064e-02,-0.012
2.080e-02,-0.0048
2.096e-02,0.0024
2.112e-02,0.0096
2.128e-02,0.0152
2.144e-02,0.02
2.160e-02,0.024
2.176e-02,0.0264
2.192e-02,0.0248
2.208e-02,0.0224
2.224e-02,0.0192
2.240e-02,0.0136
2.256e-02,0.008
2.272e-02,0
2.288e-02,-0.0064
2.304e-02,-0.012
2.320e-02,-0.0168
